id,name,shortName,aliases,tax_gram,tax_morphology,tax_group,clin_summary,clin_syndromes,clin_context,clin_pearls,res_intrinsic,res_acquired,res_stewardship,meta_relevance,category
klebsiella_pneumoniae,Klebsiella pneumoniae,K. pneumoniae,,negativo,bacilos encapsulados ,Enterobacteriaceae ,Frecuente causa de infecciones hospitalarias multirresistentes ,Neumonía;ITU;sepsis por catéter;abscesos hepáticos ,Hospitalario ,Alta asociación con brotes en UCI por carbapenemasas ,Ampicilina ,KPC (carbapenemasa);BLEE ,AWaRe: Reserva (Ceftazidima-avibactam) ,Alta,bacteria
pseudomonas_aeruginosa,Pseudomonas aeruginosa,P. aeruginosa,,negativo,bacilos ,Pseudomonadaceae ,Patógeno oportunista ubicuo con múltiples mecanismos de resistencia ,Neumonía asociada a ventilador;ITU complicada;sepsis en quemados ,Hospitalario ,Importante en pacientes con Fibrosis Quística ,Muchos betalactámicos;Ertapenem ,MDR;XDR;metalo-betalactamasas ,AWaRe: Vigilancia (Ceftazidima/Piperacilina-Tazobactam) ,Extrema,bacteria
neisseria_meningitidis,Neisseria meningitidis,N. meningitidis,Meningococo,negativo,diplococos ,Neisseriaceae ,Causa de meningitis fulminante y meningococcemia ,Meningitis;sepsis;púrpura fulminante ,Comunitario (brotes epidémicos) ,Requiere quimioprofilaxis inmediata a contactos estrechos ,,Resistencia intermedia a penicilina ,Vacunación (MenACWY/MenB) ,Alta,bacteria
neisseria_gonorrhoeae,Neisseria gonorrhoeae,N. gonorrhoeae,Gonococo,negativo,diplococos ,Neisseriaceae ,Agente de ITS con resistencia creciente a cefalosporinas ,Gonorrea;proctitis;enfermedad inflamatoria pélvica ,Comunitario ,Tratamiento dual frecuente (Ceftriaxona + Azitromicina) ,,Resistencia a penicilina;tetraciclinas;quinolonas ,Notificación y tratamiento de pareja obligatorio ,Alta,bacteria
haemophilus_influenzae,Haemophilus influenzae,H. influenzae,Bacilo de Pfeiffer,negativo,cocobacilos ,Pasteurellaceae ,Causa común de infecciones respiratorias y meningitis (serotipo b) ,Epiglotitis;meningitis;NAC;otitis media ,Comunitario ,Incidencia de Hib reducida drásticamente por vacunas ,,,Uso de Amoxicilina/Clavulánico ante productores de betalactamasa ,Alta,bacteria
moraxella_catarrhalis,Moraxella catarrhalis,M. catarrhalis,,negativo,diplococos ,Moraxellaceae ,Comensal de vía respiratoria, patógeno en EPOC y niños ,Exacerbación de EPOC;otitis media;sinusitis ,Comunitario ,>90% producen betalactamasa ,,,AWaRe: Acceso (Amoxicilina/Clavulánico) ,Moderada,bacteria
acinetobacter_baumannii,Acinetobacter baumannii,A. baumannii,,negativo,cocobacilos/bacilos ,Moraxellaceae ,Patógeno hospitalario altamente resistente y persistente ,Neumonía asociada a ventilador;sepsis;osteomielitis traumática ,Hospitalario ,Capacidad extrema de sobrevivir en superficies secas ,Betalactámicos de 1ra-2da gen ,Carbapenem-resistente (CRAB) ,AWaRe: Reserva (Colistina) ,Alta,bacteria
salmonella_enterica_typhi,Salmonella enterica serovar Typhi,S. Typhi,Bacilo de Eberth,negativo,bacilos ,Enterobacteriaceae ,Agente de la fiebre tifoidea transmitido por vía fecal-oral ,Fiebre tifoidea;sepsis ,Comunitario (áreas con saneamiento deficiente) ,Estado de portador crónico en vesícula biliar ,,Resistencia a quinolonas (NAL-R) ,AWaRe: Vigilancia (Ceftriaxona) ,Alta,bacteria
bordetella_pertussis,Bordetella pertussis,B. pertussis,,negativo,cocobacilos ,Alcaligenaceae ,Causa la tos ferina o coqueluche ,Tos ferina;síndrome coqueluchoideo ,Comunitario (especialmente lactantes) ,Transmisibilidad muy alta;requiere profilaxis en contactos ,,,Vacunación (Penta/Hexavalente) ,Alta,bacteria
vibrio_cholerae,Vibrio cholerae,V. cholerae,,negativo,bacilos curvos (comas) ,Vibrionaceae ,Causa diarrea acuosa masiva mediada por toxina ,Cólera ,Epidémico/Brotes ,Manejo principal es la rehidratación agresiva ,,,Prevención mediante agua segura y vacunas en brotes ,Moderada,bacteria
campylobacter_jejuni,Campylobacter jejuni,C. jejuni,,negativo,bacilos curvos/espirales ,Campylobacteraceae ,Causa común de diarrea inflamatoria zoonótica ,Diarrea aguda (frecuentemente sanguinolenta) ,Comunitario (pollo mal cocido) ,Asociado a riesgo de síndrome de Guillain-Barré ,,Resistencia creciente a quinolonas ,Tratamiento suele ser autolimitado ,Alta,bacteria
helicobacter_pylori,Helicobacter pylori,H. pylori,,negativo,bacilos curvos ,Helicobacteraceae ,Colonizador gástrico asociado a úlceras y cáncer ,Gastritis;úlcera péptica;linfoma MALT ,Comunitario ,Tratamiento suele ser triple o cuádruple terapia ,,,Requiere prueba de erradicación tras tratamiento ,Alta,bacteria
legionella_pneumophila,Legionella pneumophila,L. pneumophila,,negativo,bacilos (tinción difícil) ,Legionellaceae ,Agente de neumonía atípica grave asociada a sistemas de agua ,Enfermedad del legionario;Fiebre de Pontiac ,Comunitario/Institucional (Hoteles/Hospitales) ,Antígeno urinario es la prueba diagnóstica de elección ,Betalactámicos (intrínseca) ,,AWaRe: Vigilancia (Levofloxacino/Azitromicina) ,Moderada,bacteria
mycoplasma_pneumoniae,Mycoplasma pneumoniae,M. pneumoniae,,atípico,sin pared celular ,Mycoplasmataceae ,Principal causa de neumonía atípica en escolares y adultos jóvenes ,Neumonía atípica;traqueobronquitis ,Comunitario ,No visible en tinción de Gram ,Betalactámicos (total) ,Resistencia a macrólidos ,AWaRe: Vigilancia (Azitromicina/Doxiciclina) ,Alta,bacteria
chlamydia_trachomatis,Chlamydia trachomatis,C. trachomatis,,atípico,intracelular obligado ,Chlamydiaceae ,ITS bacteriana más frecuente en el mundo ,Uretritis;cervicitis;linfogranuloma venéreo;tracoma ,Comunitario ,Frecuente coinfección con Neisseria gonorrhoeae ,Betalactámicos ,,Tratamiento de elección: Doxiciclina o Azitromicina ,Alta,bacteria
treponema_pallidum,Treponema pallidum,T. pallidum,Espiroqueta de la sífilis,atípico,espiroqueta ,Spirochaetaceae ,Agente de la sífilis, patógeno crónico sistémico ,Sífilis (primaria, secundaria, latente, terciaria);neurosífilis ,Comunitario ,Diagnóstico mediante pruebas no treponémicas (RPR/VDRL) y treponémicas ,,,Tratamiento de elección: Penicilina Benzatina ,Alta,bacteria
mycobacterium_tuberculosis,Mycobacterium tuberculosis,M. tuberculosis,Bacilo de Koch,atípico,bacilo ácido-alcohol resistente (AAR) ,Mycobacteriaceae ,Causa la tuberculosis, principal causa de muerte infecciosa global ,Tuberculosis pulmonar y extrapulmonar ,Comunitario/Institucional ,Requiere tratamiento prolongado y multiasociado (TDO) ,,MDR;XDR (multirresistencia) ,Uso restringido de rifampicina en programas nacionales ,Extrema,bacteria
mycobacterium_leprae,Mycobacterium leprae,M. leprae,Bacilo de Hansen,atípico,bacilo AAR ,Mycobacteriaceae ,Agente de la lepra, afecta piel y nervios periféricos ,Lepra paucibacilar y multibacilar ,Comunitario ,No cultivable en medios artificiales ,,,Tratamiento multidroga (Rifampicina+Dapsona+Clofazimina) ,Moderada,bacteria
candida_albicans,Candida albicans,C. albicans,,hongo,levadura ,Saccharomycetaceae ,Comensal humano, causa común de micosis oportunistas ,Candidiasis oral;vulvovaginitis;candidemia ,Comunitario y hospitalario ,Especie más sensible a fluconazol en general ,,,Uso de equinocandinas en paciente inestable ,Alta,hongo
candida_auris,Candida auris,C. auris,,hongo,levadura ,Saccharomycetaceae ,Hongo emergente multirresistente con alto potencial de brotes ,Fungemia hospitalaria;otitis ,Hospitalario ,Persiste en el ambiente y coloniza piel de pacientes y personal ,Fluconazol (frecuente) ,Multirresistente a azoles y anfotericina ,Notificación obligatoria ante hallazgo ,Crítica,hongo
cryptococcus_neoformans,Cryptococcus neoformans,C. neoformans,,hongo,levadura encapsulada ,Tremellaceae ,Micosis sistémica oportunista definitoria de SIDA ,Meningitis criptocócica;neumonía ,Comunitario (heces de aves) ,Detección de antígeno en LCR o suero es muy sensible ,,,Inducción con Anfotericina B + Flucitosina ,Alta,hongo
aspergillus_fumigatus,Aspergillus fumigatus,A. fumigatus,,hongo,filamentoso (hifas) ,Aspergillaceae ,Principal causa de aspergillosis invasiva en inmunocomprometidos ,Aspergillosis invasiva;aspergiloma;ABPA ,Hospitalario/Comunitario ,Galactomanano sérico útil para diagnóstico precoz ,,,Tratamiento de elección: Voriconazol ,Alta,hongo
histoplasma_capsulatum,Histoplasma capsulatum,H. capsulatum,,hongo,dimórfico ,Ajellomycetaceae ,Micosis endémica adquirida por inhalación de guano ,Histoplasmosis diseminada;neumonía granulomatosa ,Comunitario (cuevas/construcciones) ,Importante coinfección en pacientes con VIH avanzado ,,,Itriaconazol para formas leves/moderadas ,Moderada,hongo
pneumocystis_jirovecii,Pneumocystis jirovecii,P. jirovecii,Pneumocystis carinii (antiguo),hongo,quistes/trofozoítos ,Pneumocystidaceae ,Hongo atípico causa de neumonía grave en SIDA ,Neumonía por Pneumocystis (PCP) ,Oportunista (inmunocompromiso) ,No responde a antifúngicos convencionales (ergosterol ausente) ,Fluconazol;Anfotericina B ,,Profilaxis con TMP-SMX si CD4 < 200 ,Alta,hongo
leishmania_spp,Leishmania spp.,Leishmania,,atípico,protozoo intracelular ,Trypanosomatidae ,Parásito transmitido por flebótomos causante de úlceras o daño visceral ,Leishmaniasis cutánea;mucosa;visceral ,Comunitario (zonas endémicas) ,Uso de antimoniales pentavalentes como primera opción ,,,Notificación epidemiológica obligatoria ,Moderada,parásito
borrelia_burgdorferi,Borrelia burgdorferi,B. burgdorferi,Agente enfermedad de Lyme,atípico,espiroqueta,,Spirochaetaceae,Causa la enfermedad de Lyme transmitida por garrapatas,Eritema migrans;artritis de Lyme;neuroborreliosis,,Rash en "ojo de buey" patognomónico,,,,,Baja (en Chile),bacteria
stenotrophomonas_maltophilia,Stenotrophomonas maltophilia,S. maltophilia,,negativo,bacilos ,Xanthomonadaceae ,Bacilo no fermentador asociado a uso previo de carbapenémicos ,Neumonía nosocomial;sepsis por catéter ,Hospitalario ,Baja virulencia pero alta resistencia antibiótica ,Carbapenémicos (L1 metalo-betalactamasa) ,,Tratamiento de elección: TMP-SMX ,Moderada,bacteria
burkholderia_cepacia,Burkholderia cepacia,B. cepacia,Complejo B. cepacia,negativo,bacilos ,Burkholderiaceae ,Grupo de especies con alta resistencia intrínseca y riesgo en fibrosis quística ,Neumonía en FQ;sepsis hospitalaria ,Hospitalario ,Contaminante común de soluciones y dispositivos médicos ,Aminoglucósidos;Polimixinas ,,Manejo requiere aislamiento de contacto estricto en FQ ,Moderada,bacteria
bacteroides_fragilis,Bacteroides fragilis,B. fragilis,,negativo,bacilos pleomórficos ,Bacteroidaceae ,Anaerobio gramnegativo más común en infecciones intraabdominales ,Peritonitis;abscesos pélicas;bacteriemia anaerobia ,Comunitario y hospitalario ,Productor de betalactamasa ,Penicilina;Cefalosporinas 1ra-2da gen ,Resistencia a Clindamicina creciente ,AWaRe: Acceso (Metronidazol) ,Alta,bacteria
haemophilus_ducreyi,Haemophilus ducreyi,H. ducreyi,Agente del chancroide,negativo,cocobacilos ,Pasteurellaceae ,Causa úlceras genitales dolorosas (chancroide) ,Chancroide;bubón inguinal ,Comunitario ,Úlcera dolorosa a diferencia de la sífilis ,,,Tratamiento: Azitromicina o Ceftriaxona ,Moderada,bacteria
